Average number of iterations: 118543.763
Median of last 9 normalized drift values: 5.0614684980274447E-5
0 => drift 0.6612104436298347, normalized 8.265130545372934E-4
545 => drift 0.03033622394644759, normalized 1.1896558410371603E-4
546 => drift 0.02932870506559981, normalized 1.15467342777952E-4
547 => drift 0.02800066867268472, normalized 1.106745797339317E-4
548 => drift 0.02833810888252149, normalized 1.1245281302587893E-4
549 => drift 0.028147775823071125, normalized 1.1214253315964592E-4
550 => drift 0.02765627595371242, normalized 1.1062510381484968E-4
551 => drift 0.027207001522070014, normalized 1.0926506635369483E-4
552 => drift 0.026325556733828206, normalized 1.0615143844285568E-4
553 => drift 0.02645798397615055, normalized 1.0711734403299817E-4
554 => drift 0.026354511535025486, normalized 1.0713216071148572E-4
555 => drift 0.025108332301597126, normalized 1.0248298898611072E-4
556 => drift 0.024913721439907298, normalized 1.0210541573732499E-4
557 => drift 0.025279839013960508, normalized 1.040322593167099E-4
558 => drift 0.029478391338883823, normalized 1.2181153445819762E-4
559 => drift 0.026400962953056037, normalized 1.0954756412056447E-4
560 => drift 0.02492716089349304, normalized 1.0386317038955433E-4
561 => drift 0.02488381814158204, normalized 1.041163938978328E-4
562 => drift 0.025685239994852657, normalized 1.0792117644896075E-4
563 => drift 0.024548825710754018, normalized 1.0358154308335029E-4
564 => drift 0.02435037619287998, normalized 1.0317956013932195E-4
565 => drift 0.022412832794920352, normalized 9.537375657412916E-5
566 => drift 0.023202846975088967, normalized 9.91574657055084E-5
567 => drift 0.02368026956196181, normalized 1.0163205820584468E-4
568 => drift 0.023958735055919785, normalized 1.0327040972379217E-4
569 => drift 0.023079049198452183, normalized 9.990930388940338E-5
570 => drift 0.023870376621497807, normalized 1.0378424618042524E-4
571 => drift 0.021845771469684087, normalized 9.539638196368597E-5
572 => drift 0.021871998602986116, normalized 9.592981843414963E-5
573 => drift 0.02111190787531109, normalized 9.300399945070964E-5
574 => drift 0.02200607367633467, normalized 9.737200741741005E-5
575 => drift 0.02129519099590723, normalized 9.464529331514325E-5
576 => drift 0.023103829160530193, normalized 1.0314209446665265E-4
577 => drift 0.021448473983195455, normalized 9.618149768249083E-5
578 => drift 0.020673495624766725, normalized 9.312385416561588E-5
579 => drift 0.021443158611300205, normalized 9.702786701945794E-5
580 => drift 0.02036069854741309, normalized 9.254862976096859E-5
581 => drift 0.021283790924270286, normalized 9.718625992817482E-5
582 => drift 0.021207558373804423, normalized 9.728237786148817E-5
583 => drift 0.019647683112066754, normalized 9.054231848878689E-5
584 => drift 0.02064409578860446, normalized 9.557451753983547E-5
585 => drift 0.019774124834210843, normalized 9.19726736474923E-5
586 => drift 0.019529006318207927, normalized 9.12570388701305E-5
587 => drift 0.018809250080099513, normalized 8.830633840422306E-5
588 => drift 0.019808524274955937, normalized 9.343643525922611E-5
589 => drift 0.020033753598729276, normalized 9.494669952004396E-5
590 => drift 0.018445637781374136, normalized 8.783637038749589E-5
